participant,nlld,alpha,tau,gamma,forget_MF,gate
32,1587.858374771794,0.0047267156069175425,1.32745713447298,0.999977763610683,0.0,0.7226979461447758
4,1926.7302588781247,0.0003452725160912142,74.29948007880175,0.007633594698094659,0.0330948352080473,0.2115323344889366
2,1482.6007638738154,0.20833653589856976,0.2584429417521076,1.0,0.0005590360213475807,0.10498322827330642
29,1230.3221901119741,0.8252542894636532,0.2961740493564828,1.0,0.013077810565682866,0.6313308612415687
11,860.929772391932,0.20330402688128846,0.3321210505108471,1.0,0.002561888515867329,0.39313120269083335
17,1000.3392523607522,0.3483920115500863,0.2781230121800202,1.0,0.010780925817654583,0.8926680464433243
13,900.5816849515905,0.33845467658103856,0.3668249180436339,1.0,0.030694486119891718,0.6869570653874254
18,1895.8412977001333,1.0,0.0462994133818154,1.0,0.009226515713100712,0.11779411348667479
31,903.9827623171911,0.5580328299211175,0.2728837848711093,1.0,0.007754907196394437,0.957030790161948
14,1593.6463342685515,0.4491453600503413,0.32664729287241756,1.0,0.00169008199058332,0.9849457690727172
5,779.4179127523604,0.3841651214977785,0.33037417954516124,1.0,0.012831343842798767,0.941096535427745
27,683.6077432535106,0.33119283962320906,0.40242370291014884,1.0,0.007599182819662807,0.9172884205509692
21,1069.1104163280818,0.3960859271877653,0.2433324647895134,1.0,0.010812421422830572,0.9463314511070331
12,691.1591380639285,0.2508463764387346,0.3166311273150815,1.0,0.004780428821031347,0.12419124484070132
8,927.8554510457298,0.3830711171873186,0.33384779477277576,1.0,0.0010671168133300477,0.01770513571773491
24,948.5652310962477,0.22431796984024763,0.22707604433466172,1.0,0.0033176608167026418,0.7858335896834593
22,899.7769858868669,0.295725316533844,0.26617180133074786,1.0,0.005563087320145487,0.06497857910294658
20,1116.0738958846741,0.11449596464351441,0.2707486861656019,1.0,0.0,0.13073143793935105
3,649.6879401157843,0.3163359807098307,0.4426256168942817,1.0,0.030413788123763177,0.9321898048004733
1,1633.5220932265297,0.13722040348919745,0.20197507178648244,1.0,0.0,0.16308941857067272
33,667.9554317078495,0.12364000352426797,0.520106830133862,1.0,0.010278385997969746,0.03476831340534736
7,1205.6751094376116,0.5176984842164745,0.3175135616920597,1.0,0.00656704281253299,0.42916339275977344
16,443.22390101948986,0.21395322132468372,0.4230597842205288,1.0,0.002824039663553113,0.9616384687829993
28,782.2330784966339,0.3004713314571036,0.3181260295651628,1.0,0.003285396649067022,0.8095684219132737
35,742.9815138595625,0.6770309071952356,0.2491019344969154,1.0,0.011221702954811475,0.5847843583114383
9,367.87740994841596,0.662173598199077,0.3982897550912848,1.0,0.011921602390489366,0.014634279815402995
25,752.7592413953603,0.21274132252373348,0.4757594841339834,1.0,0.015420574210605402,0.947714403388859
0,953.676424200701,0.13475727240932106,0.35975032726056605,1.0,0.0037649856245179714,0.7525731205167397
6,1052.0136299514124,0.1831343965918208,0.2280675336517381,1.0,0.00114798748462926,0.2421437573240689
23,1041.1583523291358,0.2875504743545367,0.2341289262778632,1.0,0.0046096318099835675,0.9873991962623224
30,1364.2872570336972,0.44634460857970626,0.24644198430042877,1.0,0.003781661761394238,0.03101341540038871
26,1828.2633989100584,0.5868271604635749,0.16847904082044443,1.0,0.0033734057503425658,0.34315219843541955
10,938.8785371409648,0.3790654912887406,0.30218880255695585,1.0,0.006121625770967009,0.7184263683368203
15,1326.0836809241089,0.5652930304660692,0.24136745537622797,1.0,0.01050560034802627,0.753188194151737
19,496.5229208224107,0.40750045822164027,0.32068203518909294,1.0,0.008418592283621507,0.8334140721918418
34,1173.3316810578472,0.30375506518632117,0.26316553143924737,1.0,0.003107780370741879,0.6349213017611246
