participant,nlld,alpha,tau,gamma,eta,forget_MF,forget_MB
32,1605.78791969263,0.6429123076935299,100.0,0.4099163062241262,1.0064472957089519e-05,0.011925758103017653,0.0
4,1927.3654561786448,0.22981122777648877,0.014215617741772268,0.16094461280729755,1.0,0.015883233433021716,0.05
2,1637.972433178404,0.8940774605241445,0.011851440165707546,0.15133643458967727,0.3534366115631162,0.04133244019061682,0.0
29,1542.8586065593731,0.9284609693393396,0.04396024787107391,0.8848457795289489,0.623666284901039,0.001986352800082025,0.00022522505941462655
11,945.285842045008,0.7310414753530857,0.6391119271112379,0.02608596042408995,0.007565522049233682,0.0005991844896256594,0.0
17,1113.3798359118275,0.0812211815487803,0.17086837109440742,0.0,0.06952187629322303,0.03773848685441333,0.003166178510336497
13,965.3188165638832,0.06946550482935504,0.27114171304686313,0.11119955934371129,0.17293308502857785,0.0,0.015733377260318253
18,1907.4083692116205,0.5483772967332006,0.00498816192817635,0.6312643106937545,1.0,4.005430746267258e-05,0.006704678847280102
31,1134.139444865723,0.5327434469248707,0.1319397130332185,0.30964316176577633,0.03570333309566912,0.0027166207579242766,0.0003180748171473094
14,1867.6404149473433,0.8678484341961713,0.00010875590331205871,0.3584673761268101,0.999999867024952,0.0,0.0
5,869.0510440979753,0.8720902175418282,0.413061269161017,0.6136423801916879,0.02196523117734613,0.022287135442609768,0.0012248963674035252
27,931.0861891519172,0.22511533152225072,0.12058568931687244,0.20613385798458905,0.23401106359388427,0.013323318594397816,0.0
21,1152.090072558169,0.5163429818427407,0.11983043959214369,0.8940927797091001,0.10783762639886493,0.03912304391190794,0.003693283484752152
12,762.6781460982186,0.5150041660630781,0.23008849508104703,0.3178782891830406,0.061208376485604996,0.0198662798039369,0.0017404516199019655
8,1285.0331571455436,0.1386559373661671,19.677982258282395,0.4625366959526299,2.1993739692633057e-05,0.04939553265388894,0.0
24,986.7595096057695,0.21749184048963366,0.16077066156528677,0.013696803349250386,0.14516128310090035,0.01097848581116594,0.004933959927281182
22,955.0018924882635,0.43210756406699413,0.3039198586972882,0.6652452896188787,0.016267634506780676,0.00040684530862225565,0.0007064118330297719
20,1187.8711406258308,0.15818886193161505,0.2837162250627847,0.0,0.009775856624421547,0.05,0.0
3,751.2074734685043,0.9984138708731678,0.22984647599941166,0.9983664769471446,0.049522739641779605,8.30030040554707e-05,0.0021679496888962137
1,1685.2119546952156,0.4752994850709841,0.04977027059534335,1.0,0.3049925724743299,0.05,0.0016655015192281594
33,727.5527701202498,0.44512544120275954,0.46528317885392495,0.17298303786958902,0.2222317036144099,0.0012910157373407618,0.034083011176298715
7,1462.9753570424498,0.954917293880091,0.03959290939338981,0.35634683081612595,1.0,0.03165837352823037,0.00016043662718966584
16,543.3049255681009,0.7801198068598799,0.36845935052026463,0.6612836238492559,0.047316185283357265,0.00015107732171629524,5.005836115204451e-05
28,938.9291699393182,0.42320269910184694,0.22113153532247765,0.2083719969498411,0.02616496628905791,0.0025169940145447936,0.0
35,949.7135277092768,0.8658610355893245,0.16590348539857352,1.0,0.02425286428656816,0.0,0.0
9,676.2806263685269,0.08994635775077464,0.3014860370781145,0.0007038015556587451,0.08759651659391457,0.0016406418541453083,0.0027294819753696745
25,852.5176455787976,0.6329980196065401,0.35394559463896463,0.9880382266879923,0.05071673477900878,0.014722332470114253,0.004234965031162698
0,985.9422218650099,0.8757550809922063,0.8850336776854397,0.8457715026238793,0.004082310976454542,0.0,0.0
6,1127.556006553155,0.5997144707209219,0.11792416907397257,1.0,0.06020444134080031,0.0,0.0002954490605194788
23,1106.2715778109812,0.932678444301315,0.09183722690161054,0.9939214429314641,0.35624320013159694,0.0,0.0
30,1480.1993689758283,0.9883936021548024,0.030265851648293953,0.0,0.976391312730754,0.05,0.0
26,1920.562607888166,0.4668322359662509,0.007177495662871708,0.0,1.0,0.0,0.0
10,1061.4649092247078,0.999868512219678,0.16889671601050993,0.9740188076221826,0.02655853385221909,0.05,0.0
